SJA1890-91;SJA2014;HAW1890-56;HAW2014;ORN1890-91;ORN2014;SLA1889-91;SLA2014;NOS1890-91;NOS2014;SWI1889-91;SWI2014;KAM1889-91;KAM2014;KMA1889-1956;KMA2014;KRZ1889-1956;KRZ2014;RYS1889-1956;RYS2014;MSC1889-1956;MSC2014;CMN1891-1956;CMN2014;GWR1889;GWR2014;GWS1889-1956;GWS2014
Cystopteris fragilis;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;1704;0;2122;2122;0;1895;0;0;2096;2096;0;1823;0;1825
Cystopteris sudetica;2210;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Dactylis glomerata;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daphne mezereum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Delphinium elatum;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;1823;1823;1894;0
Delphinium oxysepalum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;2122;2122;0;0;0;0;2096;0;0;0;0;0
Deschampsia cespitosa                     ;0;0;0;0;0;1867;0;0;0;1206;0;0;1886;0;0;0;2122;0;0;0;0;0;2096;0;0;1823;0;1894
Deschampsia flexuosa;0;0;0;0;0;1867;0;2370;0;1206;0;0;0;0;0;1704;2122;0;2503;1725;2405;1989;2096;0;0;1823;0;0
Dianthus glacialis;2210;2210;0;0;1867;0;0;0;0;0;1998;2061;0;2126;0;0;2122;0;2490;0;2410;0;2096;0;0;0;0;0
Dianthus plumarius;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;1704;2122;0;0;0;0;0;0;0;1800;0;1894;0
Dianthus superbus subsp. alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;1823;0;0
Digitalis grandiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Diphasiastrum alpinum;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doronicum austriacum;0;0;0;0;0;0;0;0;0;0;1978;0;0;0;0;0;0;0;0;1725;0;0;0;0;0;0;0;0
Doronicum clusii;2210;2210;0;0;1867;0;2452;2452;0;0;1998;0;2126;0;0;0;2122;2116;2503;2500;2410;2410;2096;0;0;0;0;0
Draba aizoides;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;1823;1823;1894;1894
Draba dubia;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba tomentosa;0;0;2152;0;0;0;0;0;0;0;2061;2061;0;0;0;0;2122;2122;0;0;0;0;2060;0;0;1823;1894;0
Dryas octopetala;0;0;2152;2152;0;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;2112;0;0;2140;0;2096;2096;1823;1823;1894;1894
Dryopteris carthusiana;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;2098;0;0;0;0;0;0;0;0;0;0;0
Dryopteris dilatata;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;1825
Empetrum nigrum;2210;2210;0;0;1867;0;0;0;0;0;0;0;0;0;1704;1704;2122;0;0;0;0;0;0;0;0;0;1894;0
Empetrum nigrum subsp. hermaphroditum;0;0;0;0;0;1867;0;2230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium alpestre;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;1704;2122;0;0;0;0;0;2096;0;1700;1823;0;0
Epilobium alsinifolium;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;0;0;0;2060;2096;0;1823;1894;1825
Epilobium anagallidifolium;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;1704;0;2122;0;2503;0;0;0;0;0;0;0;0;0
Epilobium angustifolium;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2116;0;1623;0;0;0;0;0;1823;0;0
Epilobium tetragonum subsp. tetragonum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Epipactis atrorubens;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Equisetum variegatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2410;0;0;0;0;0;0;0
Erigeron alpinus;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Erigeron nanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;2122;0;0;0;0;0;2096;0;0;0;0;0
Erigeron uniflorus;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;1704;0;2122;2122;2355;2500;2301;2251;0;2096;0;0;1894;0
Euphrasia minima;0;0;0;0;1867;0;0;2075;0;0;0;0;0;0;1704;1704;2122;0;0;0;0;0;2096;0;0;0;0;1894
Euphrasia minima subsp. tatrae;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euphrasia salisburgensis;2210;0;0;2152;0;0;0;0;0;1206;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0;1823;1823;1894;0
Euphrasia stricta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Fagus sylvatica;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca airoides;0;0;0;2152;0;1867;0;2452;0;0;0;2061;0;2126;1704;1704;2122;2122;2503;2500;2405;2410;2096;0;0;0;0;1894
Festuca amethystina;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca carpatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;1894
Festuca picta;0;0;0;0;0;0;0;0;0;0;2061;0;2126;0;0;0;2122;0;2503;1725;2410;2188;2096;0;0;0;0;1894
Festuca psammophila;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Festuca rubra;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca versicolor;0;0;2152;2152;0;1867;2452;2452;1206;1206;0;2061;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;0;1823;1894;0
Fragaria vesca;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;1605;0;0;0;0;0;0;0;0;0;0;0;0;0
Fraxinus excelsior;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium anisophyllum;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;0;0;0;0;0;0;2096;0;1823;0;1894
Galium sudeticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;2122;2122;0;0;0;0;2096;0;1823;0;1894;0
Galium sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentiana asclepiadea;0;0;0;0;1867;1867;0;0;0;1206;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;1823;0;0;0
Gentiana clusii;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;1704;0;0;0;0;0;0;0;2000;0;1823;1823;1894;1825
Gentiana frigida;2210;2210;0;0;0;0;2452;2452;0;0;0;0;0;0;0;0;0;0;2503;2500;2410;2410;2096;0;0;1823;0;0
Gentiana nivalis;0;0;2152;2152;1867;0;0;0;0;0;0;0;0;0;1704;1704;2122;0;0;0;0;0;0;0;1823;0;1894;1894
Gentiana punctata;0;2210;0;0;0;1867;2452;2415;0;0;0;0;0;2126;0;0;2122;0;2503;1840;2410;2188;0;0;1823;0;0;0
Gentiana verna;0;0;0;0;0;0;0;0;1206;0;0;2061;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;1823;1823;0;0
Gentianella amarella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Gentianella ciliata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella germanica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;1858;0
Gentianella lutescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Gentianella tenella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Geranium robertianum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;1700;0
Geranium sylvaticum;0;0;2152;2152;1867;0;0;0;0;0;0;2061;0;0;1704;0;2122;2122;0;1725;0;0;2096;2096;1823;1823;0;1825
Geum montanum;0;0;0;0;1867;1867;2452;2433;0;0;2061;2061;2126;0;0;1704;2122;2122;2503;2500;2410;2410;2096;2096;1823;1823;0;1825
Geum reptans;0;0;0;0;0;0;2452;0;0;0;0;0;2126;0;0;0;0;0;2345;2500;2410;2410;0;0;0;0;0;0
Geum rivale;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gymnadenia conopsea;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;0;2096;1823;1823;0;1825
Gymnadenia odoratissima;0;0;0;0;1867;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Gymnocarpium robertianum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0
Gypsophila repens;0;0;2152;0;0;0;0;0;1206;1206;0;0;0;0;1704;0;2122;0;0;0;0;0;0;0;1700;1823;1894;0
Hedysarum hedysaroides;0;0;2152;2152;1867;0;0;0;0;0;2061;2061;0;0;0;1704;2122;2122;0;0;0;0;2096;2096;1823;1823;1894;1894
Helianthemum nummularium;0;0;2152;0;0;0;0;0;1206;1206;2061;2061;0;0;0;1704;2122;2112;0;0;0;0;2096;0;0;1823;1894;1894
Heracleum sphondylium;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;1825
Heracleum sphondylium subsp. sibiricum;0;0;0;0;0;0;2452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium acuminatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Hieracium alpicola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Hieracium alpinum;2210;2210;0;0;1867;0;0;0;0;0;2061;0;0;2126;1704;0;2122;2116;2503;2500;2410;0;2096;0;0;1823;1894;1894
