Sla.K90;Sla.C14;Swi.K90;Swi.C14;Kma.K90;Kma.C14;Krz.K90;Krz.C14;Rys.K90;Rys.C14;Msc.K90;Msc.C14;Cmi.K90;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.C14
Festuca rubra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca versicolor;2452;2452;0;2061;1704;1704;2122;2122;0;0;0;0;0;2096;0;1823;0;0
Fragaria vesca;0;0;0;0;1605;0;0;0;0;0;0;0;0;0;0;0;0;0
Fraxinus excelsior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium anisophyllum;0;0;0;2061;0;1704;0;0;0;0;0;0;0;2096;0;1823;0;1894
Galium sudeticum;0;0;0;0;1704;0;2122;2122;0;0;0;0;0;0;1823;0;0;0
Galium sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentiana asclepiadea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Gentiana clusii;0;0;0;0;1704;0;0;0;0;0;0;0;1858;0;1823;1823;1894;1825
Gentiana frigida;2452;2452;0;0;0;0;0;0;2503;2500;2410;2410;2096;0;0;1823;0;0
Gentiana nivalis;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;1823;0;1894;1894
Gentiana punctata;2452;2415;0;0;0;0;0;0;2503;1840;0;2188;0;0;1823;0;0;0
Gentiana verna;0;0;0;2061;1704;1704;2122;2122;0;0;0;0;0;2096;1823;1823;0;0
Gentianella amarella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella ciliata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella germanica;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;1858;0
Gentianella lutescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Gentianella tenella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Geranium robertianum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Geranium sylvaticum;0;0;0;2061;1704;0;2085;2122;0;1725;0;0;0;2096;1823;1823;0;1825
Geum montanum;2452;2433;0;2061;0;1704;2122;2122;2503;2500;2410;2410;0;2096;1823;1823;0;1825
Geum reptans;2452;0;0;0;0;0;0;0;2345;2500;2410;2410;0;0;0;0;0;0
Geum rivale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gymnadenia conopsea;0;0;0;0;0;1704;0;0;0;0;0;0;0;2096;1823;1823;0;1825
Gymnadenia odoratissima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gymnocarpium robertianum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gypsophila repens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;1823;0;0
Hedysarum hedysaroides;0;0;0;2061;0;1704;2122;2122;0;0;0;0;0;2096;1823;1823;0;1894
Helianthemum nummularium;0;0;0;2061;0;1704;1991;2112;0;0;0;0;0;0;0;1823;1894;1894
Heracleum sphondylium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Heracleum sphondylium subsp. sibiricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium acuminatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Hieracium alpicola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Hieracium alpinum;0;0;0;0;1704;0;2122;2116;2503;2500;2410;0;0;0;0;1823;0;1894
Hieracium atratum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium aurantiacum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium bifidum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Hieracium bupleuroides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium caesium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium caespitosum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium fritzei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium lactucella;0;0;0;0;1605;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium murorum;0;0;0;0;1605;1704;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium nigrescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium pilosella;0;2360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium piloselloides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Hieracium prenanthoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium villosum;0;0;0;2061;0;1704;0;0;0;0;0;0;0;0;1823;1823;1894;1825
Hieracium x brachiatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homogyne alpina;0;0;0;2061;1704;1704;2122;2122;2503;2500;2410;2410;0;2096;1823;1823;1894;1894
Huperzia selago;2452;2297;0;2061;1704;1704;0;0;2503;1990;0;2251;0;0;0;1823;0;1894
Hypericum maculatum;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;1825
Hypericum tetrapterum;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;0;0
Hypochoeris uniflora;0;1887;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Jovibarba globifera subsp. globifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Juncus trifidus;0;2423;0;2061;0;1704;0;2116;2503;2500;0;2410;0;0;0;1823;0;1825
Juniperus communis;0;2200;0;0;0;0;2043;0;0;0;0;0;0;0;0;0;0;0
Kernera saxatilis;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Knautia kitaibelii                             ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Larix decidua;0;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laserpitium latifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Leontodon incanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon montanus subsp. pseudotaraxaci;0;0;0;2061;0;0;2122;2122;0;0;2410;2233;0;2096;1823;0;0;1825
Leontopodium alpinum;0;0;2061;0;0;1704;0;0;0;0;0;0;0;0;0;1823;1894;1825
Leucanthemopsis alpina;2452;2452;0;0;0;0;2046;2122;2503;2500;2410;2410;0;0;0;0;0;0
Leucanthemum vulgare;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;1823;1823;0;1894
Leucanthemum waldstenii;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Ligusticum mutellina;0;2415;0;0;1704;1704;2122;2122;2503;2155;2410;2410;0;2096;0;1823;0;1825
