Sja.S91;Sja.C14;Haw.S91;Haw.C14;Orn.S91;Orn.C14;Sla.S91;Sla.C14;Nos.S91;Nos.C14;Swi.S91;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.C14;Krz.S91;Krz.C14;Rys.S91;Rys.C14;Cmi.S91;Cmi.C14;Gws.S91;Gws.C14
Gentiana_clusii;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Gentiana_frigida;2210;2210;0;0;0;0;2452;2452;0;0;0;0;0;0;0;0;0;0;2503;2500;0;0;0;0
Gentiana_nivalis;0;0;0;2152;1867;0;0;0;0;0;0;0;0;0;1704;1704;2122;0;0;0;0;0;1894;1894
Gentiana_punctata;0;2210;0;0;0;1867;0;2415;0;0;0;0;0;2126;0;0;2122;0;0;1840;0;0;0;0
Gentiana_verna;0;0;0;0;0;0;0;0;1206;0;0;2061;0;0;0;1704;0;2122;0;0;0;2096;0;0
Gentianella_amarella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Gentianella_ciliata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0
Gentianella_germanica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella_lutescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella_tenella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Geranium_robertianum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Geranium_sylvaticum;0;0;0;2152;1867;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;1725;0;2096;0;1825
Geum_montanum;0;0;0;0;1867;1867;0;2433;0;0;2061;2061;2126;0;0;1704;0;2122;0;2500;0;2096;0;1825
Geum_reptans;0;0;0;0;0;0;0;0;0;0;0;0;2126;0;0;0;0;0;2503;2500;0;0;0;0
Geum_rivale;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gymnadenia_conopsea;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;1704;0;0;0;0;0;2096;0;1825
Gymnadenia_odoratissima;0;0;0;0;1867;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Gymnocarpium_robertianum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gypsophila_repens;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;1704;0;2122;0;0;0;0;0;1894;0
Hedysarum_hedysaroides;0;0;0;2152;1867;0;0;0;0;0;2061;2061;0;0;0;1704;2122;2122;0;0;0;2096;1894;1894
Helianthemum_nummularium;0;0;0;0;0;0;0;0;1206;1206;2061;2061;0;0;0;1704;0;2112;0;0;0;0;1894;1894
Heracleum_sphondylium;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Heracleum_sphondylium_subsp._sibiricum;0;0;0;0;0;0;2452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium_acuminatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium_alpicola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Hieracium_alpinum;2210;2210;0;0;1867;0;0;0;0;0;2061;0;0;2126;0;0;2122;2116;0;2500;0;0;1894;1894
Hieracium_atratum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;1894;0
Hieracium_aurantiacum;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium_bifidum;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Hieracium_bupleuroides;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium_caesium;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium_caespitosum;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium_fritzei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium_lactucella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
