Haw.P56;Haw.C14;Krz.P56;Krz.C14;Rys.P56;Rys.C14;Msc.P56;Msc.C14;Cmi.P56;Cmi.C14;Gws.P56;Gws.C14
Saxifraga rosacea;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga wahlenbergii;0;0;0;2122;0;2500;0;2410;0;2096;0;0
Scabiosa lucida;0;2152;0;0;0;0;0;0;0;0;0;1894
Scrophularia scopolii;0;0;0;0;0;0;0;0;0;0;0;0
Sedum alpestre;0;0;0;0;0;2500;0;2410;0;0;0;1894
Sedum atratum;2152;2152;0;2122;0;0;0;0;0;2096;0;1894
Sedum telephium subsp. fabaria;0;0;0;0;0;0;0;0;0;0;0;0
Selaginella selaginoides;2152;0;0;2122;0;0;0;0;0;2096;0;1894
Sempervivum montanum;0;2152;0;0;0;0;0;0;0;0;0;0
Senecio abrotanifolius subsp. carpathicus;0;0;0;0;0;0;0;0;0;0;0;0
Senecio incanus subsp. carniolicus;0;0;0;0;0;2500;0;2410;0;0;0;0
Senecio integrifolius subsp. capitatus;0;2152;0;2116;0;0;0;0;0;0;0;1825
Senecio nemorensis;0;0;0;0;0;1740;0;0;0;0;0;0
Senecio rivularis;0;0;0;0;0;0;0;0;0;0;0;0
Senecio subalpinus;0;0;0;0;0;0;0;0;0;2096;0;0
Seseli libanotis;0;0;0;0;0;0;0;0;0;0;0;0
Sesleria bielzii;0;2152;0;2122;0;0;0;0;0;2096;0;0
Sesleria sadlerana subsp. tatrae;0;0;0;0;0;0;0;0;0;0;0;1894
Sesleria varia;0;0;0;2122;0;0;0;0;0;0;0;0
Sibbaldia procumbens;0;0;2100;0;0;0;0;0;2089;0;0;0
Silene acaulis;2150;2152;0;2122;0;2500;2410;2410;0;2096;0;1894
Silene dioica;0;0;2079;0;0;0;0;0;0;0;0;0
Silene nutans;0;0;0;0;0;0;0;0;0;0;0;0
Silene pusilla;0;0;0;0;0;0;0;0;0;0;0;0
Silene vulgaris;0;0;0;0;0;0;0;0;1950;0;0;0
Soldanella carpatica;0;2152;0;2116;0;2053;0;2410;0;2096;0;1894
Solidago virgaurea;0;2152;0;0;0;0;0;0;0;0;0;0
Solidago virgaurea subsp. minuta;0;0;0;0;0;1765;0;2188;0;0;0;1825
Sorbus aria;0;0;0;0;0;0;0;0;0;0;0;0
Sorbus aucuparia subsp. glabrata;0;0;0;0;0;0;0;0;0;0;0;0
Stellaria nemorum;0;0;2110;2116;0;1740;0;0;0;2096;0;0
Swertia perennis;0;0;0;2122;0;0;0;0;0;2096;0;1894
Taraxacum officinale;0;0;0;0;0;0;0;0;0;0;0;1894
