Sla;Kma;Krz;Rys;Msc;Cmi;Gwr;Gws;Haw;Sja;Orn;Nos;Swi;Kam
Hieracium aurantiacum;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Hieracium bifidum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Hieracium bupleuroides;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Hieracium caesium;0;0;0;0;0;0;0;1894;0;0;0;1206;0;0
Hieracium caespitosum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Hieracium fritzei;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Hieracium lactucella;0;1605;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium murorum;0;1605;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium nigrescens;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Hieracium pilosella;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Hieracium piloselloides;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium prenanthoides;0;0;0;0;0;0;0;1894;0;0;0;0;2061;0
Hieracium villosum;0;0;2122;0;0;0;1823;1894;0;0;1867;1206;2061;0
Hieracium x brachiatum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Homogyne alpina;0;1704;2122;2503;2410;0;1823;1894;0;0;0;0;0;2126
Huperzia selago;2452;1704;2122;2503;0;0;0;1894;0;0;1867;0;0;0
Hypericum maculatum;0;0;0;0;0;0;0;0;2152;0;0;0;0;0
Hypericum tetrapterum;0;1704;0;0;0;0;1823;0;0;0;0;0;0;0
Hypochoeris uniflora;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Jovibarba globifera subsp. globifera;0;0;0;0;0;0;1823;1894;0;0;0;0;0;0
Juncus trifidus;0;0;2122;2503;0;0;0;0;0;0;1867;0;2061;2126
Juniperus communis;0;0;2043;0;0;0;0;0;0;0;0;0;0;0
Kernera saxatilis;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Knautia kitaibelii                             ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Larix decidua;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laserpitium latifolium;0;0;0;0;0;0;1700;0;0;0;0;0;0;0
Leontodon incanus;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Leontodon montanus subsp. pseudotaraxaci;0;1704;2122;0;2410;0;1823;1894;0;0;0;1206;0;0
Leontopodium alpinum;0;1704;2122;0;0;0;0;1894;0;0;0;1206;2061;0
Leucanthemopsis alpina;2452;1704;2122;2503;2410;0;0;1894;0;0;0;0;0;2126
Leucanthemum vulgare;0;0;2122;0;0;0;1823;0;0;0;0;0;0;0
Leucanthemum waldstenii;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ligusticum mutellina;0;1704;2122;2503;2410;0;0;0;0;2210;1867;0;0;2126
Ligusticum mutellinoides;2452;0;2122;2345;0;0;0;0;2152;0;0;0;0;0
Lilium martagon;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum catharticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum perenne subsp. extraaxillare;0;0;2122;0;0;0;0;0;2152;0;1867;0;0;0
Listera ovata;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lloydia serotina;0;0;2122;2200;2300;0;1823;1894;2152;2210;0;0;1998;0
Lotus corniculatus;0;0;0;0;0;0;1700;0;2020;0;0;0;0;0
Luzula alpinopilosa;2452;0;2122;2503;2410;0;0;0;0;0;1867;0;0;2126
Luzula luzulina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luzula luzuloides;0;1704;0;0;0;0;1700;0;0;0;0;0;1978;0
Luzula multiflora;0;0;0;0;0;2076;0;0;0;0;0;0;0;0
Luzula spicata;0;0;2122;2503;2410;0;0;0;0;2210;0;0;0;0
Luzula sudetica;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Luzula sylvatica;0;0;0;0;0;0;1823;0;0;0;0;1206;0;0
Lycopodium annotinum;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Maianthemum bifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum pratense;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum sylvaticum;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Mercurialis perennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Microstylis monophyllos;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Minuartia laricifolia subsp. kitaibelii;0;0;0;0;0;0;0;1894;0;0;0;1206;0;0
Minuartia sedoides;0;0;2122;2503;2410;0;0;1894;2152;0;1867;1206;0;0
Minuartia verna;0;0;2122;0;2410;0;0;1894;0;0;0;0;0;0
Moehringia muscosa;0;0;0;0;0;0;0;1894;0;0;0;1206;0;0
Moehringia trinervia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moneses uniflora;0;0;0;0;0;0;1823;1894;0;0;1867;0;0;0
Mycelis muralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis alpestris;0;0;2122;2503;2410;0;1823;1894;0;0;0;0;0;0
Myosotis sylvatica;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Nardus stricta ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Omalotheca hoppeana;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
