Species;Acronym;Lifeform;Sja.S91;Sja.C14;Haw.S91;Haw.B90;Haw.P56;Haw.C14;Orn.S91;Orn.C14;Sla.K90;Sla.S91;Sla.C14;Nos.S91;Nos.B90;Nos.C14;Swi.S91;Swi.K90;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.K90;Kma.B55;Kma.B90;Kma.C14;Krz.S91;Krz.K90;Krz.P56;Krz.P28;Krz.C14;Rys.S91;Rys.K90;Rys.P56;Rys.C14;Msc.K90;Msc.P56;Msc.P28;Msc.C14;Cmi.S91;Cmi.K90;Cmi.P56;Cmi.P49;Cmi.P56;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.S91;Gws.B55;Gws.B90;Gws.P56;Gws.C14
Luzula multiflora;Luz.mul;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Luzula spicata;Luz.spi;H;2210;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;2503;NA;NA;2410;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Luzula sudetica;Luz.sud;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Luzula sylvatica;Luz.syl;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA;NA
Lycopodium annotinum;Lyc.ann;C;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA
Maianthemum bifolium;Mai.bif;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Melampyrum pratense;Mel.pra;T;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Melampyrum sylvaticum;Mel.syl;T;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mercurialis perennis;Mer.per;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Microstylis monophyllos;Mcr.mon;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Minuartia laricifolia subsp. kitaibelii;Min.lar;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Minuartia sedoides;Min.sed;C;NA;NA;2152;NA;NA;2152;1867;NA;NA;NA;2423;1206;NA;NA;NA;NA;2061;NA;2126;NA;NA;1704;NA;1704;2122;2122;NA;NA;2122;NA;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;NA;2096;NA;1823;NA;1894;1894;NA;NA;1894
Minuartia verna;Min.ver;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;2410;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;NA;NA;NA;1894
Moehringia muscosa;Moe.mus;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Moehringia trinervia;Moe.tri;T;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Moneses uniflora;Mon.uni;G;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;1894;NA;NA;NA;NA
Mycelis muralis;Myc.mur;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Myosotis alpestris;Myo.alp;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;2122;2503;2200;NA;2128;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;1823;NA;1894;1894;NA;NA;1894
Myosotis sylvatica;Myo.syl;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nardus stricta ;Nar.str;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Omalotheca hoppeana;Oma.hop;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Omalotheca supina;Oma.sup;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;2433;NA;NA;NA;2061;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2122;NA;2122;NA;NA;2503;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;NA;NA;NA;1894;NA;NA;NA
Omalotheca sylvatica;Oma.syl;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Oreochloa disticha;Ore.dis;H;2210;2210;2152;2152;NA;2152;1867;1867;2452;2452;2452;NA;NA;NA;2061;NA;2061;NA;2126;NA;NA;NA;NA;NA;2122;2122;NA;2122;2122;2503;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;NA;1894;NA;NA;NA;NA;NA
Orthilia secunda;Ort.sec;Ch;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA;1825
Oxalis acetosella;Oxa.ace;G;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Oxyria digyna;Oxy.dig;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;2122;NA;NA;2122;NA;NA;2345;NA;2335;2410;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;1894;NA;NA;NA
Oxytropis campestris;Oxt.cam;H;NA;NA;NA;2152;2110;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;1894;NA;1894;1857;NA
Oxytropis carpatica;Oxt.car;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1894;1894;NA;NA;NA;1894
Oxytropis halleri;Oxt.hal;H;NA;NA;2152;NA;2110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Oxytropis pilosa;Oxt.pil;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA
Papaver burseri;Pap.bur;H;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;2122;2122;2122;NA;NA;2360;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;1894;NA;NA;1894;NA
Paris quadrifolia;Par.qua;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1605;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Parnassia palustris;Par.pal;H;NA;NA;NA;NA;2152;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;NA;NA;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;1894;NA;NA;NA;NA;1894
Pedicularis hacquetii;Ped.hac;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Pedicularis oederi;Ped.oed;H;2210;2210;NA;2152;NA;2152;NA;NA;2452;NA;2235;NA;NA;NA;2061;NA;2061;NA;NA;NA;1704;NA;NA;1704;2122;2122;NA;2122;2122;NA;2345;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;1823;1894;1894;1894;1894;NA;1825
Pedicularis verticillata;Ped.ver;H;2210;NA;NA;NA;NA;2152;NA;NA;NA;NA;2297;1206;NA;1206;2061;NA;2061;NA;2126;NA;NA;NA;NA;1704;2122;NA;NA;NA;2122;NA;NA;NA;2500;NA;NA;NA;2410;NA;NA;NA;NA;NA;2096;NA;1823;NA;1894;NA;NA;NA;1894
Phegopteris connectilis;Phe.con;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phleum alpinum subsp. alpinum;Phl.alp;H;2210;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2092;NA;2122;2116;NA;2503;NA;1725;2410;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phleum hirsutum;Phl.hir;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phyteuma orbiculare;Phy.orb;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;NA;1894;NA;NA;NA;1894
Phyteuma spicatum;Phy.spi;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Picea abies;Pic.abi;M;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2240;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;1825
Pimpinella major;Pim.maj;H;NA;NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA;NA
Pimpinella saxifraga;Pim.sax;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pinguicula alpina;Pin.alp;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;2122;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;1825
Pinus cembra;Pin.cem;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1880;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pinus mugo;Pin.mug;N;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2240;NA;NA;NA;NA;1946;2061;2126;NA;NA;NA;NA;NA;1704;NA;1987;NA;2000;NA;NA;NA;NA;1725;NA;NA;NA;NA;NA;1900;NA;NA;2000;2096;NA;1823;NA;NA;NA;NA;NA;1894
Pinus sylvestris;Pin.syl;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Plantago atrata;Pln.atr;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;2122;2116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;NA;NA;NA;NA;NA;NA;NA
Plantago major;Pln.maj;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;1894
Plantanthera bifolia;Plt.bif;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Poa alpina;Poa.alp;H;2210;2210;NA;NA;NA;2152;NA;1867;2452;NA;2452;NA;NA;1206;2061;NA;2061;NA;2126;NA;NA;NA;NA;1704;NA;2122;NA;2000;2122;NA;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2000;2096;NA;1823;NA;1894;NA;NA;NA;1894
Poa annua;Poa.ann;T;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894
Poa granitica;Poa.gra;H;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2345;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Poa chaixii;Poa.chai;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;NA;NA;NA;NA;1894;1894;NA;NA;NA
Poa laxa;Poa.lax;H;NA;NA;NA;NA;NA;NA;1867;NA;2452;NA;2452;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;2503;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Poa nemoralis;Poa.nem;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Polygala amara subsp. brachyptera;Pla.bra;C;NA;NA;NA;NA;2152;2152;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Polygala vulgaris;Pla.vul;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;NA;NA;NA;1825
Polygonum bistorta;Pol.bis;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Polygonum viviparum;Pol.viv;H;NA;NA;NA;NA;NA;2152;NA;NA;2452;NA;2238;NA;NA;1206;NA;NA;2061;2126;2126;NA;1704;1704;NA;1704;NA;2122;NA;2122;2122;NA;2503;2490;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;NA;1823;1823;1894;1894;1894;NA;NA;1894
Polystichum lonchitis;Pls.lon;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2022;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;1823;NA;1894;NA;NA;NA;NA
Potentilla aurea;Pot.aur;H;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;2145;NA;NA;NA;2061;NA;2061;2126;NA;NA;NA;NA;NA;1704;NA;2118;NA;2122;2122;NA;2503;NA;2500;2410;NA;2410;2251;NA;NA;NA;NA;2096;2096;1823;1823;NA;1894;1894;NA;NA;1825
Potentilla crantzii;Pot.cra;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;2122;NA;NA;NA;NA;2410;NA;2410;2251;NA;NA;NA;NA;2096;2096;1823;1823;NA;NA;NA;NA;NA;1825
Potentilla erecta;Pot.ere;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Potentilla pusilla;Pot.pus;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Potentilla tabernaemontani;Pot.tab;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;NA;2122;NA;NA;2107;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Prenanthes purpurea;Pre.pur;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Primula auricula;Pri.aur;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;1206;1206;1206;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1900;NA;NA;2096;NA;1823;1823;1894;NA;NA;NA;NA;1825
Primula elatior;Pri.ela;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;1704;NA;NA;NA;2122;2122;NA;2122;2122;NA;2503;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;1823;NA;1894;NA;NA;NA;NA
Primula minima;Pri.min;H;NA;NA;NA;NA;NA;2152;1867;NA;2452;NA;2452;NA;NA;NA;NA;NA;2061;2126;NA;NA;NA;NA;NA;1704;2122;2122;NA;2122;NA;2503;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;NA;NA;NA;NA;NA;NA;1825
Pritzelago alpina;Pzl.alp;H;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;2122;2122;NA;NA;NA;NA;2410;2300;2410;2286;NA;NA;NA;NA;2096;NA;NA;1823;NA;1894;1894;1894;NA;NA
Prunella vulgaris;Pru.vul;H;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;1206;2061;NA;2061;NA;NA;NA;1605;NA;NA;1704;NA;1997;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;1823;1859;NA;NA;NA;NA;1825
Pulmonaria obscura;Plm.obs;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pulsatilla alba;Pul.alb;H;2210;2210;NA;NA;NA;2152;NA;1867;2452;2452;2360;NA;NA;NA;2061;NA;2061;NA;2126;NA;NA;NA;NA;1704;NA;2122;NA;2122;2122;NA;2503;NA;NA;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;NA
Pulsatilla vernalis;Pul.ver;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pyrola carpatica;Pyr.car;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pyrola minor;Pyr.min;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
