Sla.C14;Kma.C14;Krz.C14;Rys.C14;Msc.C14;Cmi.C14;Gwr.C14;Gws.C14;Haw.C14;Sja.C14;Orn.C14;Nos.C14;Swi.C14;Kam.C14
Empetrum nigrum subsp. hermaphroditum;2230;0;0;0;0;0;0;0;0;0;1867;0;0;0
Epilobium alpestre;0;1704;0;0;0;0;1823;0;0;0;1867;0;0;0
Epilobium alsinifolium;0;0;0;0;0;2096;1823;1825;0;0;0;0;0;0
Epilobium anagallidifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium angustifolium;0;0;2116;1623;0;0;1823;0;0;0;1867;0;0;0
Epilobium tetragonum subsp. tetragonum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epipactis atrorubens;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Equisetum variegatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron alpinus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron nanus;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron uniflorus;0;0;2122;2500;2251;2096;0;0;2152;0;0;0;2061;0
Euphrasia minima;2075;1704;0;0;0;0;0;1894;0;0;0;0;0;0
Euphrasia minima subsp. tatrae;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Euphrasia salisburgensis;0;0;0;0;0;0;1823;1825;2152;0;0;1206;2061;0
Euphrasia stricta;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Fagus sylvatica;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Festuca airoides;2452;1704;2122;2500;2410;0;0;1894;2152;0;1867;0;2061;2126
Festuca amethystina;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Festuca carpatica;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Festuca picta;0;0;0;1725;2188;0;0;1894;0;0;0;0;0;0
Festuca psammophila;0;0;0;0;0;0;0;1825;0;0;0;0;0;0
Festuca rubra;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Festuca versicolor;2452;1704;2122;0;0;2096;1823;0;2152;0;1867;1206;2061;0
Fragaria vesca;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Fraxinus excelsior;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Galium anisophyllum;0;1704;0;0;0;2096;1823;1894;2152;0;0;1206;2061;0
Galium sudeticum;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Galium sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentiana asclepiadea;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Gentiana clusii;0;0;0;0;0;0;1823;1825;0;0;0;1206;0;0
Gentiana frigida;2452;0;0;2500;2410;0;1823;0;0;2210;0;0;0;0
Gentiana nivalis;0;1704;0;0;0;0;0;1894;2152;0;0;0;0;0
Gentiana punctata;2415;0;0;1840;2188;0;0;0;0;2210;1867;0;0;2126
Gentiana verna;0;1704;2122;0;0;2096;1823;0;0;0;0;0;2061;0
Gentianella amarella;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella ciliata;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella germanica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella lutescens;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Gentianella tenella;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Geranium robertianum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Geranium sylvaticum;0;0;2122;1725;0;2096;1823;1825;2152;0;0;0;2061;0
Geum montanum;2433;1704;2122;2500;2410;2096;1823;1825;0;0;1867;0;2061;0
Geum reptans;0;0;0;2500;2410;0;0;0;0;0;0;0;0;0
Geum rivale;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Gymnadenia conopsea;0;1704;0;0;0;2096;1823;1825;0;0;0;1206;0;0
Gymnadenia odoratissima;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Gymnocarpium robertianum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gypsophila repens;0;0;0;0;0;0;1823;0;0;0;0;1206;0;0
Hedysarum hedysaroides;0;1704;2122;0;0;2096;1823;1894;2152;0;0;0;2061;0
Helianthemum nummularium;0;1704;2112;0;0;0;1823;1894;0;0;0;1206;2061;0
Heracleum sphondylium;0;0;0;0;0;0;0;1825;0;0;0;1206;0;0
Heracleum sphondylium subsp. sibiricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
